"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
BD101,"Brown, Durrell & Co. 1910s",32.52,7.21,14.27,95,72,54
BD102,"Brown, Durrell & Co. 1910s",25.8,5.26,10.79,75,58,45
BD103,"Brown, Durrell & Co. 1910s",22.71,3.49,4.5,62,52,48
BD104,"Brown, Durrell & Co. 1910s",67.38,20.48,2.59,202,151,160
BD105,"Brown, Durrell & Co. 1910s",60.28,26.67,-3.39,188,128,152
BD106,"Brown, Durrell & Co. 1910s",73.37,-12.96,20.48,171,186,142
BD107,"Brown, Durrell & Co. 1910s",67.99,-14.85,27.87,157,172,115
BD108,"Brown, Durrell & Co. 1910s",50.5,-16.48,24.1,106,127,78
BD109,"Brown, Durrell & Co. 1910s",44.59,-15.22,10.39,85,112,88
BD110,"Brown, Durrell & Co. 1910s",38.21,-9.52,20.57,86,94,56
BD111,"Brown, Durrell & Co. 1910s",55.65,7.48,17.04,157,128,104
BD112,"Brown, Durrell & Co. 1910s",50.66,6.47,9.79,138,116,104
NACC1,NACC Inc 1920,70.4,1.6,59.6,197,170,55
NACC2,NACC Inc 1920,68.4,5.5,72.5,200,162,0
NACC3,NACC Inc 1920,61.1,30.6,63,213,124,23
NACC4,NACC Inc 1920,43.2,53.3,10.4,180,53,88
NACC5,NACC Inc 1920,33.8,45.3,-14,136,41,103
NACC6,NACC Inc 1920,44,46.2,7.7,173,66,94
NACC7,NACC Inc 1920,36,45.8,-1.5,147,45,89
NACC8,NACC Inc 1920,36.4,50.2,7.7,156,38,76
NACC9,NACC Inc 1920,31,17.3,-19.3,88,64,103
NACC10,NACC Inc 1920,34.7,-3.7,-28,46,85,126
NACC11,NACC Inc 1920,39.9,-26.1,-20.9,0,106,128
NACC12,NACC Inc 1920,43.4,-27,-20.6,0,115,136
NACC13,NACC Inc 1920,34.3,-7.3,-26.2,36,85,122
NACC14,NACC Inc 1920,50.6,-31.8,-1.8,34,135,122
NACC15,NACC Inc 1920,64.8,6.8,68.3,191,151,0
NACC16,NACC Inc 1920,64.6,11.5,80.3,198,148,0
NACC17,NACC Inc 1920,55.3,40.7,69.5,209,100,0
NACC18,NACC Inc 1920,31.4,55,18.3,149,0,49
NACC19,NACC Inc 1920,18.8,29.6,-11,79,24,62
NACC20,NACC Inc 1920,32.9,51.5,14,148,23,59
NACC21,NACC Inc 1920,25,38.7,0.1,109,26,61
NACC22,NACC Inc 1920,27,49.4,13.2,129,2,47
NACC23,NACC Inc 1920,15.7,15,-13.9,53,31,59
NACC24,NACC Inc 1920,22.5,4.7,-34,25,53,105
NACC25,NACC Inc 1920,29,-18.2,-28.3,0,77,112
NACC26,NACC Inc 1920,26.6,-17.3,-25,0,71,101
NACC27,NACC Inc 1920,19.3,1.4,-28.4,18,48,88
NACC28,NACC Inc 1920,36.1,-34.4,-4.2,0,99,91
NACC29,NACC Inc 1920,42.4,-16.1,-0.8,67,108,101
NACC30,NACC Inc 1920,34.4,45,25.2,147,41,44
NACC31,NACC Inc 1920,32,6.8,14.1,91,71,53
NACC32,NACC Inc 1920,60.9,4.9,10.7,161,144,128
NACC33,NACC Inc 1920,47.8,3.7,16.6,127,111,86
NACC34,NACC Inc 1920,20.6,6.3,4.7,60,46,43
NACC35,NACC Inc 1920,50,16.3,16.5,152,108,92
NACC36,NACC Inc 1920,59.6,5.4,23.5,164,139,102
NACC37,NACC Inc 1920,65.3,7,46.6,188,153,72
NACC38,NACC Inc 1920,23.1,-12.9,-5.6,25,61,63
NACC39,NACC Inc 1920,54.1,-15.6,17.4,110,137,98
NACC40,NACC Inc 1920,44.9,0.4,8.7,112,106,92
NACC41,NACC Inc 1920,54.1,6.6,13.5,147,125,106
NACC42,NACC Inc 1920,52.1,3.6,10.8,136,122,106
NACC43,NACC Inc 1920,33.1,-23.5,6.2,31,88,67
NACC44,NACC Inc 1920,32.6,6,6.5,89,73,67
NACC45,NACC Inc 1920,18.9,9.5,3.8,60,41,41
NACC46,NACC Inc 1920,52.7,-2.1,-5.9,118,127,136
NACC47,NACC Inc 1920,17.2,18.9,-23.7,55,32,77
